DATABASE NAME	CLASS	ORDER	FAMILY	GENUS	CODE	NAMECODE	CLASS	ORDER	FAMILY 	GENUS/SPECIES	COMMON NAME	NOTES	Found in Pitfall Dataset?
Spirobolida	7	04	00	00	7040000	DISPI	Diplopoda	Spirobolida					Yes
Entognatha	8	00	00	00	8000000	EN	Entognatha						
Japygidae	8	01	01	00	8010100	ENDIJA	Entognatha	Diplura	Japygidae		Forcepstails		Yes
All non-arthropods	9	00	00	00	9000000	NON	All non-arthropods					Do not use this code in the dataset, be more specific	
Annelida	9	01	00	00	9010000	AN	Annelida (phylum)				Worms	Formerly 9000000	Yes
Gastropoda	9	02	00	00	9020000	GA	Gastropoda (phylum)				Slugs and snails	Formerly 8000000	Yes
Vertebrate	9	03	00	00	9030000	VE	Chordata (phylum)					Do not use this code in the dataset, be more specific	
Lizard	9	03	01	00	9030100	LIZ	Reptilia	Squamata			Includes both lizards and skinks		Yes
Shrew	9	03	02	00	9030200	SHREW	Mammalia	Eulipotyhphla 	Soricidae		Any shrew		Yes
Toad	9	03	03	00	9030300	TOAD	Amphibia	Anura			Includes both toads and frogs		Yes
Mouse	9	03	04	00	9030400	MOUSE	Mammalia	Rodentia	Muridae		Any mouse		Yes
Missing/No Data	.	.	.	.	.	MISSING							
Phalangida	X	07	00	00	5070000	ARPHA						Formerly Order Phalangida, now merged with Opiliones. Use 5050000	
change to 1111346	X	11	13	40	1111340	BLANK…	Insecta						
Acanthomyops sp.	X	11	13	41	1111341	FOACA	Insecta	Hymenoptera	Formicidae	Acanthomyops sp.		Use code 1111310, new taxonomy combines this genus with Lasisus 	
Homoptera	X	15	00	00	1150000	INHO	Insecta	Homoptera				All Homoptera are now considered Hemiptera - change to 1750000	
